name,main_category,image,ratings,no_of_ratings,actual_price,source_file,actual_price_usd,ranking_score,product_id,search_text
Clovia Women's Non-Padded Non-Wired T-Shirt Bra in Baby Pink - Cotton Rich,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/7160hwDukIL._AC_UL320_.jpg,3.7,362,699,Womens Innerwear.csv,7.69,3.79,13,product: clovia women's non-padded non-wired t-shirt bra in baby pink - cotton rich. category: womens innerwear. price: $7.69. rating: 3.7 out of 5. reviews: 362. clovia women's non-padded non-wired t-shirt bra in baby pink - cotton rich
"Libertina - Kriss Cross White Colour Non Padded Comfortable, Skin Friendly Regular Women Cotton Bra with Elastic Strap - P...",Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71cGsVPJtBL._AC_UL320_.jpg,4.1,11,660,Womens Innerwear.csv,7.26,3.5,14,"product: libertina - kriss cross white colour non padded comfortable, skin friendly regular women cotton bra with elastic strap - p.... category: womens innerwear. price: $7.26. rating: 4.1 out of 5. reviews: 11. libertina - kriss cross white colour non padded comfortable, skin friendly regular women cotton bra with elastic strap - p..."
Clovia Women's Padded Underwired Full Cup Balconette Style Strapless T-Shirt Bra in Maroon,Womens Innerwear,https://m.media-amazon.com/images/I/71BL5Ux69cL._AC_UL320_.jpg,2.9,5,1299,Womens Innerwear.csv,14.29,2.51,15,product: clovia women's padded underwired full cup balconette style strapless t-shirt bra in maroon. category: womens innerwear. price: $14.29. rating: 2.9 out of 5. reviews: 5. clovia women's padded underwired full cup balconette style strapless t-shirt bra in maroon
Eve's Beauty Women Non Padded Non Wired Bra,Womens Innerwear,https://m.media-amazon.com/images/I/61-5qZXA3HL._AC_UL320_.jpg,4.0,1,290,Womens Innerwear.csv,3.19,2.91,16,product: eve's beauty women non padded non wired bra. category: womens innerwear. price: $3.19. rating: 4.0 out of 5. reviews: 1. eve's beauty women non padded non wired bra
Clovia Women's Plain Lingerie Set,Womens Innerwear,https://m.media-amazon.com/images/I/91rkP-jTNmL._AC_UL320_.jpg,5.0,2,1299,Womens Innerwear.csv,14.29,3.78,17,product: clovia women's plain lingerie set. category: womens innerwear. price: $14.29. rating: 5.0 out of 5. reviews: 2. clovia women's plain lingerie set
"The Purple Tree Women's Non-Wired Silk Bralette Triangle Breathable Cup (1 pc, Free Size) Padded Bralette, Removable Pads,...",Womens Innerwear,https://m.media-amazon.com/images/I/51Wov2jJdoL._AC_UL320_.jpg,4.0,1,1299,Womens Innerwear.csv,14.29,2.91,18,"product: the purple tree women's non-wired silk bralette triangle breathable cup (1 pc, free size) padded bralette, removable pads,.... category: womens innerwear. price: $14.29. rating: 4.0 out of 5. reviews: 1. the purple tree women's non-wired silk bralette triangle breathable cup (1 pc, free size) padded bralette, removable pads,..."
Jockey Women's Cotton Underwire Seamless Padded Wired Bra,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/716dYhejsaL._AC_UL320_.jpg,4.0,57,1099,Womens Innerwear.csv,12.09,3.73,19,product: jockey women's cotton underwire seamless padded wired bra. category: womens innerwear. price: $12.09. rating: 4.0 out of 5. reviews: 57. jockey women's cotton underwire seamless padded wired bra
Bralux Women's Sheeba Mint Color Panty,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81ejSkq47iL._AC_UL320_.jpg,2.2,2,500,Womens Innerwear.csv,5.5,1.82,20,product: bralux women's sheeba mint color panty. category: womens innerwear. price: $5.5. rating: 2.2 out of 5. reviews: 2. bralux women's sheeba mint color panty
"Dare Above All Women's American Crepe Printed Night Suit Set of Top & Shorts,Black dot",Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ebIHXU8UL._AC_UL320_.jpg,4.0,1,999,Womens Innerwear.csv,10.99,2.91,21,"product: dare above all women's american crepe printed night suit set of top & shorts,black dot. category: womens innerwear. price: $10.99. rating: 4.0 out of 5. reviews: 1. dare above all women's american crepe printed night suit set of top & shorts,black dot"
LOVICA Lace Panty for Women Mid Waist Hipster Panties Combo Color - Black & Pink (Pack of 2),Womens Innerwear,https://m.media-amazon.com/images/I/713sYDz7KEL._AC_UL320_.jpg,4.6,3,720,Womens Innerwear.csv,7.92,3.59,22,product: lovica lace panty for women mid waist hipster panties combo color - black & pink (pack of 2). category: womens innerwear. price: $7.92. rating: 4.6 out of 5. reviews: 3. lovica lace panty for women mid waist hipster panties combo color - black & pink (pack of 2)
