name,main_category,image,ratings,no_of_ratings,actual_price,source_file,actual_price_usd,ranking_score,product_id,search_text
"LG 694 L Frost Free Smart Inverter Side-by-Side Refrigerator (GC-B257SLUV, Platinum Silver III | DoorCooling+, Hygiene Fre...",Refrigerators,https://m.media-amazon.com/images/I/718jiU3uF6L._AC_UL320_.jpg,5.0,8,132199,Refrigerators.csv,1454.19,4.07,1170,"product: lg 694 l frost free smart inverter side-by-side refrigerator (gc-b257sluv, platinum silver iii | doorcooling+, hygiene fre.... category: refrigerators. price: $1454.19. rating: 5.0 out of 5. reviews: 8. lg 694 l frost free smart inverter side-by-side refrigerator (gc-b257sluv, platinum silver iii | doorcooling+, hygiene fre..."
"Haier HFC-588DM5-5 star rating double door hard top model, Convertible with Inside metal liner, White (524 ltr)",Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61YYQHAszuL._AC_UL320_.jpg,4.2,88,44599,Refrigerators.csv,490.59,3.94,1171,"product: haier hfc-588dm5-5 star rating double door hard top model, convertible with inside metal liner, white (524 ltr). category: refrigerators. price: $490.59. rating: 4.2 out of 5. reviews: 88. haier hfc-588dm5-5 star rating double door hard top model, convertible with inside metal liner, white (524 ltr)"
"Lloyd 310 L 2 Star Inverter Frost Free Double Door Refrigerator (GLFF312AMWT1PB, Metallic Wine)",Refrigerators,https://m.media-amazon.com/images/I/41sipez7ahL._AC_UL320_.jpg,4.0,2,39990,Refrigerators.csv,439.89,3.08,1172,"product: lloyd 310 l 2 star inverter frost free double door refrigerator (glff312amwt1pb, metallic wine). category: refrigerators. price: $439.89. rating: 4.0 out of 5. reviews: 2. lloyd 310 l 2 star inverter frost free double door refrigerator (glff312amwt1pb, metallic wine)"
"LG 437L 2 Star Smart Inverter Frost Free Refrigerator Freezer on Top (GL-T432AESY, Ebony Sheen)",Refrigerators,https://m.media-amazon.com/images/I/312OKB43ycL._AC_UL320_.jpg,4.7,9,64699,Refrigerators.csv,711.69,3.88,1173,"product: lg 437l 2 star smart inverter frost free refrigerator freezer on top (gl-t432aesy, ebony sheen). category: refrigerators. price: $711.69. rating: 4.7 out of 5. reviews: 9. lg 437l 2 star smart inverter frost free refrigerator freezer on top (gl-t432aesy, ebony sheen)"
"GEM 190 L 2 Star Direct-Cool Single Door Refrigerator (GRDN-2102CMWTV, Camelot Wine, 2022 Model)",Refrigerators,https://m.media-amazon.com/images/I/71pqagC9RFL._AC_UL320_.jpg,4.1,2,19000,Refrigerators.csv,209.0,3.15,1174,"product: gem 190 l 2 star direct-cool single door refrigerator (grdn-2102cmwtv, camelot wine, 2022 model). category: refrigerators. price: $209.0. rating: 4.1 out of 5. reviews: 2. gem 190 l 2 star direct-cool single door refrigerator (grdn-2102cmwtv, camelot wine, 2022 model)"
SpareplanetTMBimetal Compatible with Whirlpool Double Door Refrigerator(Match and Buy),Refrigerators,https://m.media-amazon.com/images/I/51Ca8Ahil2S._AC_UL320_.jpg,5.0,3,599,Refrigerators.csv,6.59,3.87,1175,product: spareplanet™bimetal compatible with whirlpool double door refrigerator(match and buy). category: refrigerators. price: $6.59. rating: 5.0 out of 5. reviews: 3. spareplanet™bimetal compatible with whirlpool double door refrigerator(match and buy)
"Samsung 183 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RR20C1724CU/HL, Camellia Blue)",Refrigerators,https://m.media-amazon.com/images/I/61TOp2ytwwL._AC_UL320_.jpg,4.3,587,21999,Refrigerators.csv,241.99,4.26,1176,"product: samsung 183 l 4 star inverter direct-cool single door refrigerator (rr20c1724cu/hl, camellia blue). category: refrigerators. price: $241.99. rating: 4.3 out of 5. reviews: 587. samsung 183 l 4 star inverter direct-cool single door refrigerator (rr20c1724cu/hl, camellia blue)"
"Samsung 183 L 2 Star Inverter Direct-Cool Single Door Refrigerator (RR20C2412GS/NL, Gray Silver)",Refrigerators,https://m.media-amazon.com/images/I/61peedjlRJL._AC_UL320_.jpg,4.3,5862,17999,Refrigerators.csv,197.99,4.44,1177,"product: samsung 183 l 2 star inverter direct-cool single door refrigerator (rr20c2412gs/nl, gray silver). category: refrigerators. price: $197.99. rating: 4.3 out of 5. reviews: 5862. samsung 183 l 2 star inverter direct-cool single door refrigerator (rr20c2412gs/nl, gray silver)"
"Samsung 336 L 3 Star Inverter Frost Free Double Door Refrigerator (RT37A4633UT/HL, Pebble Blue, 2022 Model)",Refrigerators,https://m.media-amazon.com/images/I/215FiFxmBoL._AC_UL320_.jpg,2.8,3,56990,Refrigerators.csv,626.89,2.33,1178,"product: samsung 336 l 3 star inverter frost free double door refrigerator (rt37a4633ut/hl, pebble blue, 2022 model). category: refrigerators. price: $626.89. rating: 2.8 out of 5. reviews: 3. samsung 336 l 3 star inverter frost free double door refrigerator (rt37a4633ut/hl, pebble blue, 2022 model)"
"Godrej 180 L 2 Star Direct-Cool Inverter Single Door Refrigerator(RD EDGE 205B WRF PP BL, Pep Blue, with Jumbo Vegetable T...",Refrigerators,https://m.media-amazon.com/images/I/61FUkX14rXL._AC_UL320_.jpg,4.1,642,17500,Refrigerators.csv,192.5,4.13,1179,"product: godrej 180 l 2 star direct-cool inverter single door refrigerator(rd edge 205b wrf pp bl, pep blue, with jumbo vegetable t.... category: refrigerators. price: $192.5. rating: 4.1 out of 5. reviews: 642. godrej 180 l 2 star direct-cool inverter single door refrigerator(rd edge 205b wrf pp bl, pep blue, with jumbo vegetable t..."
"Voltas Beko 360 L 2 Star Inverter Frost-Free Double Door Refrigerator, StoreFresh+, Neo FrostTM Dual Cooling (RFF383IF, Si...",Refrigerators,https://m.media-amazon.com/images/I/41Q0-AeCugL._AC_UL320_.jpg,5.0,1,46990,Refrigerators.csv,516.89,3.61,1180,"product: voltas beko 360 l 2 star inverter frost-free double door refrigerator, storefresh+, neo frosttm dual cooling (rff383if, si.... category: refrigerators. price: $516.89. rating: 5.0 out of 5. reviews: 1. voltas beko 360 l 2 star inverter frost-free double door refrigerator, storefresh+, neo frosttm dual cooling (rff383if, si..."
"Whirlpool 184 L 3 Star Direct-Cool Single Door Refrigerator (205 WDE PRM 3S SAPPHIRE RADIANCE-Z, Sapphire Radiance, Large ...",Refrigerators,https://m.media-amazon.com/images/I/51HS1w-SYlL._AC_UL320_.jpg,4.5,2,18150,Refrigerators.csv,199.65,3.43,1181,"product: whirlpool 184 l 3 star direct-cool single door refrigerator (205 wde prm 3s sapphire radiance-z, sapphire radiance, large .... category: refrigerators. price: $199.65. rating: 4.5 out of 5. reviews: 2. whirlpool 184 l 3 star direct-cool single door refrigerator (205 wde prm 3s sapphire radiance-z, sapphire radiance, large ..."
"Blue Star CHF400 Double Door Deep Freezer (400 L, White)",Refrigerators,https://m.media-amazon.com/images/I/51V0zz8ikoL._AC_UL320_.jpg,4.1,167,41350,Refrigerators.csv,454.85,3.97,1182,"product: blue star chf400 double door deep freezer (400 l, white). category: refrigerators. price: $454.85. rating: 4.1 out of 5. reviews: 167. blue star chf400 double door deep freezer (400 l, white)"
"Midea 482 L Side by Side Refrigerator with Inverter (MDRS619FGG28IND, Black Jazz)",Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41Tu6Vbd3fL._AC_UL320_.jpg,4.0,24,69990,Refrigerators.csv,769.89,3.57,1183,"product: midea 482 l side by side refrigerator with inverter (mdrs619fgg28ind, black jazz). category: refrigerators. price: $769.89. rating: 4.0 out of 5. reviews: 24. midea 482 l side by side refrigerator with inverter (mdrs619fgg28ind, black jazz)"
LEONARD USA 52 L Inverter Toughened Glass Door Mini Fridge/Wine Chiller with LED Interior Light & Temperature Control for ...,Refrigerators,https://m.media-amazon.com/images/I/710IEqi0ecL._AC_UL320_.jpg,4.4,5,21990,Refrigerators.csv,241.89,3.56,1184,product: leonard usa 52 l inverter toughened glass door mini fridge/wine chiller with led interior light & temperature control for .... category: refrigerators. price: $241.89. rating: 4.4 out of 5. reviews: 5. leonard usa 52 l inverter toughened glass door mini fridge/wine chiller with led interior light & temperature control for ...
"Haier HFC-400DM5, 5 Star rated Double Door Hard Top Deep Freezer, Convertible, Capacity 383 litres, White",Refrigerators,https://m.media-amazon.com/images/I/715DSuH9R+L._AC_UL320_.jpg,1.0,1,37990,Refrigerators.csv,417.89,0.81,1185,"product: haier hfc-400dm5, 5 star rated double door hard top deep freezer, convertible, capacity 383 litres, white. category: refrigerators. price: $417.89. rating: 1.0 out of 5. reviews: 1. haier hfc-400dm5, 5 star rated double door hard top deep freezer, convertible, capacity 383 litres, white"
"Whirlpool 184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE CLS 2S SHERRY WINE-Z, Sherry Wine, Large Vegetable Bo...",Refrigerators,https://m.media-amazon.com/images/I/41kol3jGfyL._AC_UL320_.jpg,3.5,2,17750,Refrigerators.csv,195.25,2.73,1186,"product: whirlpool 184 l 2 star direct-cool single door refrigerator (205 wde cls 2s sherry wine-z, sherry wine, large vegetable bo.... category: refrigerators. price: $195.25. rating: 3.5 out of 5. reviews: 2. whirlpool 184 l 2 star direct-cool single door refrigerator (205 wde cls 2s sherry wine-z, sherry wine, large vegetable bo..."
"Bosch 415 L 2 Star Frost Free Double Door Refrigerator (KGN46XL40I, Stainless steel look, Bottom Freezer, 2022 Model)",Refrigerators,https://m.media-amazon.com/images/I/51OxF+XJRUL._AC_UL320_.jpg,4.1,30,77580,Refrigerators.csv,853.38,3.69,1187,"product: bosch 415 l 2 star frost free double door refrigerator (kgn46xl40i, stainless steel look, bottom freezer, 2022 model). category: refrigerators. price: $853.38. rating: 4.1 out of 5. reviews: 30. bosch 415 l 2 star frost free double door refrigerator (kgn46xl40i, stainless steel look, bottom freezer, 2022 model)"
"6PCS MHY62044106 Refrigerator Door Spring, Replacement Replaces # MHY62044104 2676261 AP5657415 PS6012670 - Fit Electronic...",Refrigerators,https://m.media-amazon.com/images/I/713FNHe8EPL._AC_UL320_.jpg,4.5,9,3829,Refrigerators.csv,42.12,3.74,1188,"product: 6pcs mhy62044106 refrigerator door spring, replacement replaces # mhy62044104 2676261 ap5657415 ps6012670 - fit electronic.... category: refrigerators. price: $42.12. rating: 4.5 out of 5. reviews: 9. 6pcs mhy62044106 refrigerator door spring, replacement replaces # mhy62044104 2676261 ap5657415 ps6012670 - fit electronic..."
"Lloyd 255 L 3 Star Inverter Direct Cool Single Door Refrigerator (GLDF273SSWT2PB, Stellata Wine)",Refrigerators,https://m.media-amazon.com/images/I/619jJfF4+WL._AC_UL320_.jpg,4.6,2,25990,Refrigerators.csv,285.89,3.5,1189,"product: lloyd 255 l 3 star inverter direct cool single door refrigerator (gldf273sswt2pb, stellata wine). category: refrigerators. price: $285.89. rating: 4.6 out of 5. reviews: 2. lloyd 255 l 3 star inverter direct cool single door refrigerator (gldf273sswt2pb, stellata wine)"
Haier 195L 5 Star with Inverter Direct-Cool Single Door Refrigerator (HED-20FMM -Marine Peony) With Base Drawer,Refrigerators,https://m.media-amazon.com/images/I/71eWOyi2vEL._AC_UL320_.jpg,3.4,10,30000,Refrigerators.csv,330.0,2.99,1190,product: haier 195l 5 star with inverter direct-cool single door refrigerator (hed-20fmm -marine peony) with base drawer. category: refrigerators. price: $330.0. rating: 3.4 out of 5. reviews: 10. haier 195l 5 star with inverter direct-cool single door refrigerator (hed-20fmm -marine peony) with base drawer
Laser X 88016 Two Player Laser Gaming Set,Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61md96jnpkL._AC_UL320_.jpg,4.5,2026,11545,Refrigerators.csv,126.99,4.51,1191,product: laser x 88016 two player laser gaming set. category: refrigerators. price: $126.99. rating: 4.5 out of 5. reviews: 2026. laser x 88016 two player laser gaming set
"Whirlpool 200 L Multi-Door Refrigerator (215 IMPRO PRM 3S Wine Mulia, Red)",Refrigerators,https://m.media-amazon.com/images/I/31xQ17OQ88L._AC_UL320_.jpg,4.0,27,18100,Refrigerators.csv,199.1,3.6,1192,"product: whirlpool 200 l multi-door refrigerator (215 impro prm 3s wine mulia, red). category: refrigerators. price: $199.1. rating: 4.0 out of 5. reviews: 27. whirlpool 200 l multi-door refrigerator (215 impro prm 3s wine mulia, red)"
"AmazonBasics 335 L 3 star Frost Free Double Door Refrigerator (Silver, Automatic humidity control, 2022 Model)",Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51IrSQmuLgS._AC_UL320_.jpg,3.6,476,50909,Refrigerators.csv,560.0,3.75,1193,"product: amazonbasics 335 l 3 star frost free double door refrigerator (silver, automatic humidity control, 2022 model). category: refrigerators. price: $560.0. rating: 3.6 out of 5. reviews: 476. amazonbasics 335 l 3 star frost free double door refrigerator (silver, automatic humidity control, 2022 model)"
VVWV ® Floor Design Fridge Vinyl Stickers for Single and Double Door (61 x 152 cm),Refrigerators,https://m.media-amazon.com/images/I/911LQrnj8iL._AC_UL320_.jpg,3.8,6,1199,Refrigerators.csv,13.19,3.17,1194,product: vvwv ® floor design fridge vinyl stickers for single and double door (61 x 152 cm). category: refrigerators. price: $13.19. rating: 3.8 out of 5. reviews: 6. vvwv ® floor design fridge vinyl stickers for single and double door (61 x 152 cm)
Rockwell Chest Freezer Single Door Hard Top 250 Liters,Refrigerators,https://m.media-amazon.com/images/I/718RlpHcUmL._AC_UL320_.jpg,4.3,12,27751,Refrigerators.csv,305.26,3.66,1195,product: rockwell chest freezer single door hard top 250 liters. category: refrigerators. price: $305.26. rating: 4.3 out of 5. reviews: 12. rockwell chest freezer single door hard top 250 liters
"Rockwell SFR250GT Glass Top Deep freezer-236 Ltr (Heavy Duty Compressor, Low power Consumption)",Refrigerators,https://m.media-amazon.com/images/I/51KwYo5CLkL._AC_UL320_.jpg,4.0,29,42999,Refrigerators.csv,472.99,3.61,1196,"product: rockwell sfr250gt glass top deep freezer-236 ltr (heavy duty compressor, low power consumption). category: refrigerators. price: $472.99. rating: 4.0 out of 5. reviews: 29. rockwell sfr250gt glass top deep freezer-236 ltr (heavy duty compressor, low power consumption)"
"Lloyd Havells 310 L 3 Star Inverter Frost Free Double Door Refrigerator (GLFF313ADST1PB Dark Steel, 2022 Model)",Refrigerators,https://m.media-amazon.com/images/I/41gsZQAAu3L._AC_UL320_.jpg,4.0,7,40990,Refrigerators.csv,450.89,3.34,1197,"product: lloyd havells 310 l 3 star inverter frost free double door refrigerator (glff313adst1pb dark steel, 2022 model). category: refrigerators. price: $450.89. rating: 4.0 out of 5. reviews: 7. lloyd havells 310 l 3 star inverter frost free double door refrigerator (glff313adst1pb dark steel, 2022 model)"
"AmazonBasics 44 L 2 Star Direct-Cool Single Door Mini Refrigerator (2022, Black, 2022 Model)",Refrigerators,https://m.media-amazon.com/images/I/51FDww4QuIL._AC_UL320_.jpg,4.1,755,11999,Refrigerators.csv,131.99,4.14,1198,"product: amazonbasics 44 l 2 star direct-cool single door mini refrigerator (2022, black, 2022 model). category: refrigerators. price: $131.99. rating: 4.1 out of 5. reviews: 755. amazonbasics 44 l 2 star direct-cool single door mini refrigerator (2022, black, 2022 model)"
"LG 284 L 2 Star Frost Free Inverter Double Door Refrigerator (GL-C302KPZY, Shiny Steel)",Refrigerators,https://m.media-amazon.com/images/I/713tJuH9L9L._AC_UL320_.jpg,4.4,28,37399,Refrigerators.csv,411.39,3.88,1199,"product: lg 284 l 2 star frost free inverter double door refrigerator (gl-c302kpzy, shiny steel). category: refrigerators. price: $411.39. rating: 4.4 out of 5. reviews: 28. lg 284 l 2 star frost free inverter double door refrigerator (gl-c302kpzy, shiny steel)"
HUMYDRY AIR FRESHNER for Fridge,Refrigerators,https://m.media-amazon.com/images/I/41LxoplxviL._AC_UL320_.jpg,3.7,4,1299,Refrigerators.csv,14.29,3.02,1200,product: humydry air freshner for fridge. category: refrigerators. price: $14.29. rating: 3.7 out of 5. reviews: 4. humydry air freshner for fridge
"Whirlpool 192 L 4 Star Inverter Direct-Cool Single Door Refrigerator (215 IMPRO ROY 4S Inv SAPPHIRE MULIA-Z, Sapphire Muli...",Refrigerators,https://m.media-amazon.com/images/I/51ujqhxf6pL._AC_UL320_.jpg,5.0,2,22250,Refrigerators.csv,244.75,3.78,1201,"product: whirlpool 192 l 4 star inverter direct-cool single door refrigerator (215 impro roy 4s inv sapphire mulia-z, sapphire muli.... category: refrigerators. price: $244.75. rating: 5.0 out of 5. reviews: 2. whirlpool 192 l 4 star inverter direct-cool single door refrigerator (215 impro roy 4s inv sapphire mulia-z, sapphire muli..."
SYMPHONY JUMBO COOLER JUMBO 51/JUMBO 70 / WINTER/WINTER I/WINDOW 70/ DIAMOND 61 I,Refrigerators,https://m.media-amazon.com/images/I/41MYepPFr7L._AC_UL320_.jpg,5.0,2,2190,Refrigerators.csv,24.09,3.78,1202,product: symphony jumbo cooler jumbo 51/jumbo 70 / winter/winter i/window 70/ diamond 61 i. category: refrigerators. price: $24.09. rating: 5.0 out of 5. reviews: 2. symphony jumbo cooler jumbo 51/jumbo 70 / winter/winter i/window 70/ diamond 61 i
"Whirlpool 200 L 3 Star ( 2019 ) Direct Cool Single Door Refrigerator (215 VITAMAGIC PRO PRM 3S, Alpha Steel)",Refrigerators,https://m.media-amazon.com/images/I/51V6sC-v2CL._AC_UL320_.jpg,3.6,68,21750,Refrigerators.csv,239.25,3.48,1203,"product: whirlpool 200 l 3 star ( 2019 ) direct cool single door refrigerator (215 vitamagic pro prm 3s, alpha steel). category: refrigerators. price: $239.25. rating: 3.6 out of 5. reviews: 68. whirlpool 200 l 3 star ( 2019 ) direct cool single door refrigerator (215 vitamagic pro prm 3s, alpha steel)"
"LG 240 L 2 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-S292RDSY, Dazzle Steel, Convertible, Gross Volume -...",Refrigerators,https://m.media-amazon.com/images/I/51XfUywFkDL._AC_UL320_.jpg,4.3,166,34299,Refrigerators.csv,377.29,4.11,1204,"product: lg 240 l 2 star smart inverter frost-free double door refrigerator (gl-s292rdsy, dazzle steel, convertible, gross volume -.... category: refrigerators. price: $377.29. rating: 4.3 out of 5. reviews: 166. lg 240 l 2 star smart inverter frost-free double door refrigerator (gl-s292rdsy, dazzle steel, convertible, gross volume -..."
"LEONARD USA 60 L Inverter Stainless Steel Door Mini Fridge for Room, Home, Office or Bar (Based on American Technology) (S...",Refrigerators,https://m.media-amazon.com/images/I/61ucSZ1Ek3L._AC_UL320_.jpg,5.0,1,14990,Refrigerators.csv,164.89,3.61,1205,"product: leonard usa 60 l inverter stainless steel door mini fridge for room, home, office or bar (based on american technology) (s.... category: refrigerators. price: $164.89. rating: 5.0 out of 5. reviews: 1. leonard usa 60 l inverter stainless steel door mini fridge for room, home, office or bar (based on american technology) (s..."
"Haier 195 L 3 Star Direct-Cool Single Door Refrigerator (HRD-1953CCR-E, Classic Red)",Refrigerators,https://m.media-amazon.com/images/I/71jiN0W-gML._AC_UL320_.jpg,4.4,4,22000,Refrigerators.csv,242.0,3.51,1206,"product: haier 195 l 3 star direct-cool single door refrigerator (hrd-1953ccr-e, classic red). category: refrigerators. price: $242.0. rating: 4.4 out of 5. reviews: 4. haier 195 l 3 star direct-cool single door refrigerator (hrd-1953ccr-e, classic red)"
"Whirlpool 265 L 2 Star Inverter Frost-Free Double Door Refrigerator (INTELLIFRESH CNV 278 2S German Steel, Convertible, 20...",Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61sP+7DaoJL._AC_UL320_.jpg,4.0,274,30550,Refrigerators.csv,336.05,3.96,1207,"product: whirlpool 265 l 2 star inverter frost-free double door refrigerator (intellifresh cnv 278 2s german steel, convertible, 20.... category: refrigerators. price: $336.05. rating: 4.0 out of 5. reviews: 274. whirlpool 265 l 2 star inverter frost-free double door refrigerator (intellifresh cnv 278 2s german steel, convertible, 20..."
"Whirlpool 325 L 3 Star Frost Free Double Door Refrigerator (IF PRO BM INV 340 ELT, Steel Onyx, Bottom Freezer, 2022 Model)",Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61q+pIkGiEL._AC_UL320_.jpg,2.9,53,52800,Refrigerators.csv,580.8,2.95,1208,"product: whirlpool 325 l 3 star frost free double door refrigerator (if pro bm inv 340 elt, steel onyx, bottom freezer, 2022 model). category: refrigerators. price: $580.8. rating: 2.9 out of 5. reviews: 53. whirlpool 325 l 3 star frost free double door refrigerator (if pro bm inv 340 elt, steel onyx, bottom freezer, 2022 model)"
"Haier 630 L Double Door Side By Side Refrigerators, Expert Inverter Technology (HRS-682KG, Black Glass,Glass Door, Magic C...",Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41elGLqejTL._AC_UL320_.jpg,5.0,1,131900,Refrigerators.csv,1450.9,3.61,1209,"product: haier 630 l double door side by side refrigerators, expert inverter technology (hrs-682kg, black glass,glass door, magic c.... category: refrigerators. price: $1450.9. rating: 5.0 out of 5. reviews: 1. haier 630 l double door side by side refrigerators, expert inverter technology (hrs-682kg, black glass,glass door, magic c..."
"Panasonic Econavi 551 L 6-Stage Inverter Frost-Free Multi-Door Refrigerator (NR-CY550GKXZ, Black Glass, Powered by Artific...",Refrigerators,https://m.media-amazon.com/images/I/51z0MdJsviL._AC_UL320_.jpg,4.1,35,105000,Refrigerators.csv,1155.0,3.71,1210,"product: panasonic econavi 551 l 6-stage inverter frost-free multi-door refrigerator (nr-cy550gkxz, black glass, powered by artific.... category: refrigerators. price: $1155.0. rating: 4.1 out of 5. reviews: 35. panasonic econavi 551 l 6-stage inverter frost-free multi-door refrigerator (nr-cy550gkxz, black glass, powered by artific..."
"Whirlpool 265 L 2 Star Frost-Free Double Door Refrigerator (NEOFRESH 278H PRM 2S, Sapphire Abyss, 2022 Model)",Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71itxXQT5XL._AC_UL320_.jpg,4.2,65,33050,Refrigerators.csv,363.55,3.89,1211,"product: whirlpool 265 l 2 star frost-free double door refrigerator (neofresh 278h prm 2s, sapphire abyss, 2022 model). category: refrigerators. price: $363.55. rating: 4.2 out of 5. reviews: 65. whirlpool 265 l 2 star frost-free double door refrigerator (neofresh 278h prm 2s, sapphire abyss, 2022 model)"
"Panasonic 551 L with Inverter Multi-Door Refrigerator (NR-CY550QKXZ, Sparkling Black Steel)",Refrigerators,https://m.media-amazon.com/images/I/51h0halWJPL._AC_UL320_.jpg,4.3,41,95000,Refrigerators.csv,1045.0,3.88,1212,"product: panasonic 551 l with inverter multi-door refrigerator (nr-cy550qkxz, sparkling black steel). category: refrigerators. price: $1045.0. rating: 4.3 out of 5. reviews: 41. panasonic 551 l with inverter multi-door refrigerator (nr-cy550qkxz, sparkling black steel)"
"AmazonBasics 564 L Inverter Frost-Free Side-by-Side Refrigerator with Water Dispenser (2022, Auto Defrost, Multi Airflow, ...",Refrigerators,https://m.media-amazon.com/images/I/41rQ96NJTlL._AC_UL320_.jpg,4.0,2555,88999,Refrigerators.csv,978.99,4.18,1213,"product: amazonbasics 564 l inverter frost-free side-by-side refrigerator with water dispenser (2022, auto defrost, multi airflow, .... category: refrigerators. price: $978.99. rating: 4.0 out of 5. reviews: 2555. amazonbasics 564 l inverter frost-free side-by-side refrigerator with water dispenser (2022, auto defrost, multi airflow, ..."
"Rockwell 523 Ltr 5 Star Double Door Convertible GREEN Deep Freezer-GFR550DDUC (10 yr Warranty on body,Upto 53% Power Savin...",Refrigerators,https://m.media-amazon.com/images/I/51sVXGlpmxL._AC_UL320_.jpg,4.2,550,79190,Refrigerators.csv,871.09,4.19,1214,"product: rockwell 523 ltr 5 star double door convertible green deep freezer-gfr550dduc (10 yr warranty on body,upto 53% power savin.... category: refrigerators. price: $871.09. rating: 4.2 out of 5. reviews: 550. rockwell 523 ltr 5 star double door convertible green deep freezer-gfr550dduc (10 yr warranty on body,upto 53% power savin..."
"Samsung 324 L 3 Star Inverter Frost Free Double Door Refrigerator (RT34T4513S8/HL, Convertible 5In 1, Elegant Inox)",Refrigerators,https://m.media-amazon.com/images/I/61i2ZgC3s8L._AC_UL320_.jpg,4.3,2253,41900,Refrigerators.csv,460.9,4.38,1215,"product: samsung 324 l 3 star inverter frost free double door refrigerator (rt34t4513s8/hl, convertible 5in 1, elegant inox). category: refrigerators. price: $460.9. rating: 4.3 out of 5. reviews: 2253. samsung 324 l 3 star inverter frost free double door refrigerator (rt34t4513s8/hl, convertible 5in 1, elegant inox)"
"Whirlpool 184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE PRM 2S WINE BLOOM-Z, 2023 Model)",Refrigerators,https://m.media-amazon.com/images/I/51jMOCpfeWL._AC_UL320_.jpg,4.5,4,17000,Refrigerators.csv,187.0,3.58,1216,"product: whirlpool 184 l 2 star direct-cool single door refrigerator (205 wde prm 2s wine bloom-z, 2023 model). category: refrigerators. price: $187.0. rating: 4.5 out of 5. reviews: 4. whirlpool 184 l 2 star direct-cool single door refrigerator (205 wde prm 2s wine bloom-z, 2023 model)"
"Godrej 185 L 2 Star Direct Cool Single Door Refrigerator (RD Edge 200B 23 WRF JT ST, Jet Steel, Large Vegetable Tray, 2022...",Refrigerators,https://m.media-amazon.com/images/I/71JlE18dsqL._AC_UL320_.jpg,3.5,20,16000,Refrigerators.csv,176.0,3.19,1217,"product: godrej 185 l 2 star direct cool single door refrigerator (rd edge 200b 23 wrf jt st, jet steel, large vegetable tray, 2022.... category: refrigerators. price: $176.0. rating: 3.5 out of 5. reviews: 20. godrej 185 l 2 star direct cool single door refrigerator (rd edge 200b 23 wrf jt st, jet steel, large vegetable tray, 2022..."
"LG 246 L 3 Star Smart Inverter Wi-Fi Frost-Free Double Door Refrigerator (‎GL-T262TESX, Ebony Sheen, Door Cooling+ & Conve...",Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51K7wK-bqIL._AC_UL320_.jpg,4.0,1,40899,Refrigerators.csv,449.89,2.91,1218,"product: lg 246 l 3 star smart inverter wi-fi frost-free double door refrigerator (‎gl-t262tesx, ebony sheen, door cooling+ & conve.... category: refrigerators. price: $449.89. rating: 4.0 out of 5. reviews: 1. lg 246 l 3 star smart inverter wi-fi frost-free double door refrigerator (‎gl-t262tesx, ebony sheen, door cooling+ & conve..."
"Whirlpool 207 L 5 Star Inverter Direct-Cool Single Door Refrigerator (230 IMPRO ROY 5S INV WINE ABYSS-Z, With Base Stand, ...",Refrigerators,https://m.media-amazon.com/images/I/61Swsef5QeL._AC_UL320_.jpg,4.3,970,25050,Refrigerators.csv,275.55,4.31,1219,"product: whirlpool 207 l 5 star inverter direct-cool single door refrigerator (230 impro roy 5s inv wine abyss-z, with base stand, .... category: refrigerators. price: $275.55. rating: 4.3 out of 5. reviews: 970. whirlpool 207 l 5 star inverter direct-cool single door refrigerator (230 impro roy 5s inv wine abyss-z, with base stand, ..."
"Whirlpool 265 L 2 Star Frost-Free Double Door Refrigerator (NEO 278H PRM WINE ABYSS (2S-N, Wine, 2022 Model)",Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61sl+KkcSQL._AC_UL320_.jpg,4.2,74,28400,Refrigerators.csv,312.4,3.92,1220,"product: whirlpool 265 l 2 star frost-free double door refrigerator (neo 278h prm wine abyss (2s-n, wine, 2022 model). category: refrigerators. price: $312.4. rating: 4.2 out of 5. reviews: 74. whirlpool 265 l 2 star frost-free double door refrigerator (neo 278h prm wine abyss (2s-n, wine, 2022 model)"
